filename,channel,rate,label,detected,R_blocks,S_blocks,U_blocks,time_sec
stanislav-pasikov-Ib-OzLm56Bg-unsplash.png,R,0,0,0,34012,31524,0,1.6149654388427734
stefan-stevsic-oyQMcChgkbQ-unsplash.png,R,0,0,0,33515,32021,0,1.6496598720550537
the-lucky-neko-2R0JNId-rwg-unsplash.png,R,0,0,0,52075,13461,0,1.5822713375091553
the-lucky-neko-5RrtQPVK-lI-unsplash.png,R,0,0,0,37555,27981,0,1.624164342880249
the-lucky-neko-AH7JYgyAlqA-unsplash.png,R,0,0,0,52281,13255,0,2.197089672088623
the-lucky-neko-BFsfZQeXAx8-unsplash.png,R,0,0,0,47671,17865,0,1.600712776184082
the-lucky-neko-MEQFUHzCtAo-unsplash.png,R,0,0,0,57776,7760,0,1.5785510540008545
the-lucky-neko-WNoYQaAtCfo-unsplash.png,R,0,0,0,52464,13072,0,4.460427761077881
the-lucky-neko-rplhB9mYF48-unsplash.png,R,0,0,0,35606,29930,0,1.5887126922607422
the-lucky-neko-tUTlUel_Nvs-unsplash.png,R,0,0,0,39508,26028,0,1.6375958919525146
the3dragons-slvc2JXOmHk-unsplash.png,R,0,0,0,48513,17023,0,2.2025907039642334
volodymyr-dobrovolskyy-ZwGAbvobBuw-unsplash.png,R,0,0,0,33849,31687,0,1.7708189487457275
wesley-balten-Mw7buviae0A-unsplash.png,R,0,0,0,36882,28654,0,1.766751766204834
yana-hurska-8lu-Dy_6V6U-unsplash.png,R,0,0,0,34904,30632,0,2.111617088317871
yansi-keim-koqiEVtbLWI-unsplash.png,R,0,0,0,33864,31672,0,1.5755975246429443
yibo-wang-AJsrtjmNFuU-unsplash.png,R,0,0,0,36112,29424,0,1.6186282634735107
aditya-sethia-6f1FHlC080A-unsplash.png,R,15,1,0,34089,31447,0,1.8531825542449951
aditya-sethia-ip25moYmzaw-unsplash.png,R,15,1,0,33929,31607,0,1.5640530586242676
aditya-sethia-n3S3byJlHBk-unsplash.png,R,15,1,0,34793,30743,0,2.064781427383423
adrian-kuma-pLwqsVFhAbg-unsplash.png,R,15,1,0,40842,24694,0,1.5717332363128662
alexander-tsang-lps5cLZ6j2g-unsplash.png,R,15,1,0,34806,30730,0,1.5964982509613037
alexandre-boucey-CDxeDdf9WB4-unsplash.png,R,15,1,0,38448,27088,0,1.8096230030059814
